angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.04,,"[237, 160, 131, 165]",,0.0,,0.11,,0.01,,0.24,,0.6,,0.0,
0.03,,"[237, 161, 130, 165]",,0.0,,0.09,,0.0,,0.6,,0.27,,0.01,
0.03,,"[237, 163, 128, 163]",,0.0,,0.05,,0.01,,0.64,,0.27,,0.0,
0.04,,"[239, 167, 125, 158]",,0.0,,0.07,,0.03,,0.72,,0.14,,0.0,
0.02,,"[237, 165, 129, 159]",,0.0,,0.03,,0.01,,0.8,,0.12,,0.01,
0.02,,"[239, 166, 126, 160]",,0.0,,0.03,,0.01,,0.74,,0.19,,0.0,
0.03,,"[241, 163, 124, 161]",,0.0,,0.09,,0.01,,0.39,,0.47,,0.0,
0.03,,"[244, 163, 123, 156]",,0.0,,0.1,,0.0,,0.46,,0.4,,0.0,
0.03,,"[244, 163, 126, 159]",,0.0,,0.1,,0.01,,0.46,,0.39,,0.0,
0.02,,"[243, 162, 126, 165]",,0.0,,0.05,,0.01,,0.51,,0.4,,0.0,
0.04,,"[245, 166, 122, 154]",,0.0,,0.04,,0.01,,0.54,,0.38,,0.0,
0.04,,"[244, 165, 127, 158]",,0.0,,0.08,,0.01,,0.5,,0.37,,0.0,
